Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,91.436000,-16.986000,90.000000,top
C2,100n,C_0402_1005Metric,87.372000,-16.069000,90.000000,top
C3,100n,C_0402_1005Metric,82.292000,-19.498000,180.000000,top
C4,100n,C_0402_1005Metric,92.805000,-23.794934,0.000000,top
C5,100n,C_0402_1005Metric,81.800000,-24.450000,180.000000,top
C6,100n,C_0402_1005Metric,88.134000,-29.021000,-90.000000,top
C7,100n,C_0402_1005Metric,92.833000,-19.879000,0.000000,top
C8,100n,C_0402_1005Metric,92.833000,-18.863000,0.000000,top
C9,1u,C_0402_1005Metric,90.420000,-16.097000,90.000000,top
C10,100n,C_0402_1005Metric,89.150000,-29.021000,-90.000000,top
C11,100n,C_0402_1005Metric,86.356000,-15.490000,90.000000,top
C12,100n,C_0402_1005Metric,83.308000,-9.465000,0.000000,top
C13,30p,C_0402_1005Metric,85.672000,-30.545000,0.000000,top
C14,30p,C_0402_1005Metric,88.769000,-33.339000,-90.000000,top
C15,1u,C_0402_1005Metric,97.306000,-13.529000,180.000000,top
C16,1u,C_0402_1005Metric,97.306000,-18.863000,180.000000,top
C17,100nF,C_0402_1005Metric,20.350000,-57.920000,90.000000,top
C18,100nF,C_0402_1005Metric,49.000000,-57.900000,90.000000,top
C19,100nF,C_0402_1005Metric,74.300000,-71.650000,90.000000,top
C20,100nF,C_0402_1005Metric,55.575000,-115.525000,90.000000,top
C21,100nF,C_0402_1005Metric,87.400000,-123.900000,90.000000,top
C22,100nF,C_0402_1005Metric,99.450000,-88.975000,90.000000,top
C23,100nF,C_0402_1005Metric,101.375000,-58.800000,90.000000,top
C24,100nF,C_0402_1005Metric,126.400000,-77.500000,90.000000,top
C25,100nF,C_0402_1005Metric,128.075000,-47.425000,90.000000,top
C26,100nF,C_0402_1005Metric,130.900000,-16.925000,90.000000,top
C27,100nF,C_0402_1005Metric,154.075000,-36.175000,90.000000,top
C28,100nF,C_0402_1005Metric,153.225000,-66.225000,90.000000,top
C29,100nF,C_0402_1005Metric,184.750000,-61.525000,90.000000,top
C30,100nF,C_0402_1005Metric,183.200000,-32.325000,90.000000,top
C31,100nF,C_0402_1005Metric,210.725000,-46.250000,90.000000,top
D1,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,22.100000,-57.900000,-90.000000,top
D2,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,50.700000,-57.950000,-90.000000,top
D3,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,76.100000,-71.600000,-90.000000,top
D4,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,57.400000,-115.550000,-90.000000,top
D5,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,89.100000,-123.800000,-90.000000,top
D6,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,101.300000,-88.900000,-90.000000,top
D7,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,103.300000,-58.700000,-90.000000,top
D8,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,128.100000,-77.400000,-90.000000,top
D9,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,129.800000,-47.300000,-90.000000,top
D10,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,132.700000,-16.900000,-90.000000,top
D11,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,155.800000,-36.200000,-90.000000,top
D12,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,155.000000,-66.250000,-90.000000,top
D13,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,186.500000,-61.500000,-90.000000,top
D14,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,184.900000,-32.300000,-90.000000,top
D15,SK6812-EC20,LED_SK6812_EC20_2.0x2.0mm,212.500000,-46.250000,-90.000000,top
R1,27,R_0402_1005Metric,88.388000,-15.940000,-90.000000,top
R2,27,R_0402_1005Metric,89.404000,-15.940000,-90.000000,top
R3,10k,R_0402_1005Metric,73.527000,-11.116000,0.000000,top
R4,1k,R_0402_1005Metric,87.118000,-30.037000,90.000000,top
R5,5.1k,R_0402_1005Metric,89.408000,-9.338000,180.000000,top
R6,5.1k,R_0402_1005Metric,93.726000,-10.100000,-90.000000,top
R7,1k,R_0402_1005Metric,70.862000,-11.116000,180.000000,top
R8,4.7k,R_0603_1608Metric,76.708000,-25.400000,0.000000,top
R9,4.7k,R_0603_1608Metric,76.708000,-23.876000,180.000000,top
U1,RP2040,RP2040-QFN-56,87.621000,-22.795000,0.000000,top
U2,TLV73333PDBV,SOT-23-5,96.836000,-16.201500,-90.000000,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,79.708000,-13.021000,0.000000,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,92.204000,-5.034000,180.000000,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,86.522000,-33.255000,-90.000000,top